id,country,segment,issuer_id,issuer,network,network_tier,type,status,annual_fee_amount,annual_fee_currency,rewards_currency,rate_type,base_rate,signup_bonus_amount,signup_bonus_unit,official_url,last_verified
us-chase-marriott-bonvoy-boundless,us,,chase,Chase,visa,signature,credit,active,95,USD,marriott_bonvoy,,2,125000,Marriott Bonvoy points,https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/boundless,2026-07-24
us-chase-sapphire-preferred,us,personal,chase,Chase,visa,signature,credit,active,95,USD,ultimate_rewards,points_multiplier,1,60000,points,https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred,2026-07-23
us-chase-southwest-premier-business,us,business,chase,Chase,visa,none,credit,active,149,USD,rapid_rewards_points,points_multiplier,1,60000,points,https://creditcards.chase.com/business-credit-cards/southwest/premier-business,2026-07-24
us-chase-southwest-priority,us,personal,chase,Chase,visa,signature,credit,active,229,USD,rapid_rewards_points,points_multiplier,1,60000,points,https://creditcards.chase.com/travel-credit-cards/southwest/priority,2026-07-24
us-chase-united-gateway,us,personal,chase,Chase,visa,signature,credit,active,0,USD,mileageplus_miles,miles_multiplier,1,40000,miles,https://creditcards.chase.com/travel-credit-cards/united/united-gateway,2026-07-24
us-chase-united-quest,us,personal,chase,Chase,visa,signature,credit,active,350,USD,mileageplus_miles,miles_multiplier,1,70000,miles,https://creditcards.chase.com/travel-credit-cards/united/united-quest,2026-07-24
us-chase-world-of-hyatt,us,,chase,Chase,visa,signature,credit,active,95,USD,world_of_hyatt_points,,1,75000,points,https://creditcards.chase.com/travel-credit-cards/world-of-hyatt-credit-card,2026-07-24
us-citi-diamond-preferred,us,personal,citi,Citi,mastercard,world,credit,active,0,USD,none,points_multiplier,,,,https://www.citi.com/credit-cards/citi-diamond-preferred-credit-card,2026-07-24
us-citi-simplicity,us,personal,citi,Citi,mastercard,world,credit,active,0,USD,none,points_multiplier,,,,https://www.citi.com/credit-cards/citi-simplicity-credit-card,2026-07-24
us-discover-it-student-cash-back,us,personal,discover,Discover,discover,none,credit,active,0,USD,cash_back,cashback_percent,1,,,https://www.discover.com/credit-cards/student-credit-card/it-card/,2026-07-24
us-first-ana-card-usa-plus,us,personal,fnbo,First National Bank of Omaha,visa,signature,credit,active,85,USD,miles,miles_multiplier,1,10000,miles,https://www.anacardusa.com/en/,2026-07-24
us-first-avianca-lifemiles-elite,us,personal,first-electronic-bank,First Electronic Bank,amex,none,credit,active,249,USD,lifemiles,miles_multiplier,1,100000,lifemiles,https://www.cardless.com/cards/avianca/lifemiles-elite,2026-07-24
